Element.Name,Category.Name,ElementType.Name,ElementType.FamilyName
573706,Walls,Basic Wall,MW 17.5,a,BoundingBox(MinPoint = Point(X = 4371.068, Y = -6932.219, Z = 7300.000), MaxPoint = Point(X = 5971.068, Y = -6757.219, Z = 10600.000))
573707,Walls,Basic Wall,MW 17.5,l,BoundingBox(MinPoint = Point(X = 5971.068, Y = -6932.219, Z = 7300.000), MaxPoint = Point(X = 6146.068, Y = -4589.719, Z = 10600.000))
573710,Walls,Basic Wall,MW 17.5,],BoundingBox(MinPoint = Point(X = 7496.068, Y = -6932.219, Z = 7300.000), MaxPoint = Point(X = 7671.068, Y = -4589.719, Z = 10600.000))
573713,Walls,Basic Wall,MW 11.5,,,BoundingBox(MinPoint = Point(X = 6913.568, Y = -12748.765, Z = 7300.000), MaxPoint = Point(X = 7028.568, Y = -6844.719, Z = 10600.000))
573714,Walls,Basic Wall,MW 17.5,[,BoundingBox(MinPoint = Point(X = -978.502, Y = 32455.281, Z = 7300.000), MaxPoint = Point(X = -803.502, Y = 40720.281, Z = 10600.000))
573715,Walls,Basic Wall,MW 17.5,M,BoundingBox(MinPoint = Point(X = -4632.844, Y = 35937.781, Z = 7300.000), MaxPoint = Point(X = -891.002, Y = 36112.781, Z = 10600.000))
573716,Walls,Basic Wall,MW 17.5,a,BoundingBox(MinPoint = Point(X = -4632.844, Y = 32455.281, Z = 7300.000), MaxPoint = Point(X = -4457.844, Y = 36025.281, Z = 10600.000))
573717,Walls,Basic Wall,MW 17.5,t,BoundingBox(MinPoint = Point(X = -4575.344, Y = 32455.281, Z = 7300.000), MaxPoint = Point(X = -891.002, Y = 32630.281, Z = 10600.000))
573718,Walls,Basic Wall,MW 11.5,e,BoundingBox(MinPoint = Point(X = -3275.344, Y = 32542.781, Z = 7300.000), MaxPoint = Point(X = -3160.344, Y = 36025.281, Z = 10600.000))
573719,Walls,Basic Wall,MW 11.5,r,BoundingBox(MinPoint = Point(X = -3217.844, Y = 34280.281, Z = 7300.000), MaxPoint = Point(X = -891.002, Y = 34395.281, Z = 10600.000))
573720,Walls,Basic Wall,MW 11.5,i,BoundingBox(MinPoint = Point(X = -2111.923, Y = 32542.781, Z = 7300.000), MaxPoint = Point(X = -1996.923, Y = 36025.281, Z = 10600.000))
573727,Walls,Basic Wall,MW 11.5,a,BoundingBox(MinPoint = Point(X = 19413.568, Y = -12553.766, Z = 94.172), MaxPoint = Point(X = 19528.568, Y = -4559.719, Z = 3500.000))
573728,Walls,Basic Wall,MW 11.5,l,BoundingBox(MinPoint = Point(X = 27413.568, Y = -12553.766, Z = 94.172), MaxPoint = Point(X = 27528.568, Y = -4559.719, Z = 3500.000))
573729,Walls,Basic Wall,MW 11.5,],BoundingBox(MinPoint = Point(X = 37413.568, Y = -12553.766, Z = 94.172), MaxPoint = Point(X = 37528.568, Y = -4559.719, Z = 3500.000))
573730,Walls,Basic Wall,MW 17.5,,,BoundingBox(MinPoint = Point(X = 45383.568, Y = -12553.766, Z = 3800.000), MaxPoint = Point(X = 45558.568, Y = -4559.719, Z = 7000.000))
573731,Walls,Basic Wall,MW 11.5,[,BoundingBox(MinPoint = Point(X = 17413.568, Y = -12553.766, Z = 3800.000), MaxPoint = Point(X = 17528.568, Y = -4559.719, Z = 7000.000))
573732,Walls,Basic Wall,MW 11.5,M,BoundingBox(MinPoint = Point(X = 23413.568, Y = -12553.766, Z = 3800.000), MaxPoint = Point(X = 23528.568, Y = -4559.719, Z = 7000.000))
573733,Walls,Basic Wall,MW 11.5,a,BoundingBox(MinPoint = Point(X = 35413.568, Y = -12553.766, Z = 3800.000), MaxPoint = Point(X = 35528.568, Y = -4559.719, Z = 7000.000))
573734,Walls,Basic Wall,MW 11.5,t,BoundingBox(MinPoint = Point(X = 41413.568, Y = -12553.766, Z = 3800.000), MaxPoint = Point(X = 41528.568, Y = -4559.719, Z = 7000.000))
573735,Walls,Basic Wall,MW 11.5,e,BoundingBox(MinPoint = Point(X = 27413.568, Y = -12553.766, Z = 3800.000), MaxPoint = Point(X = 27528.568, Y = -4444.719, Z = 7000.000))
573736,Walls,Basic Wall,MW 11.5,r,BoundingBox(MinPoint = Point(X = 31413.568, Y = -12553.766, Z = 3800.000), MaxPoint = Point(X = 31528.568, Y = -4559.719, Z = 7000.000))
573737,Walls,Basic Wall,MW 11.5,i,BoundingBox(MinPoint = Point(X = -12602.903, Y = -1202.219, Z = 3800.000), MaxPoint = Point(X = -4575.344, Y = -1087.219, Z = 7000.000))
573738,Walls,Basic Wall,MW 11.5,a,BoundingBox(MinPoint = Point(X = -12602.903, Y = 6780.281, Z = 3800.000), MaxPoint = Point(X = -4575.344, Y = 6895.281, Z = 7000.000))
573739,Walls,Basic Wall,MW 11.5,l,BoundingBox(MinPoint = Point(X = -12602.903, Y = 18797.781, Z = 3800.000), MaxPoint = Point(X = -4517.844, Y = 18912.781, Z = 7000.000))
573740,Walls,Basic Wall,MW 11.5,],BoundingBox(MinPoint = Point(X = -12602.903, Y = 24797.781, Z = 3800.000), MaxPoint = Point(X = -6517.844, Y = 24912.781, Z = 7000.000))
573741,Walls,Basic Wall,MW 11.5,,,BoundingBox(MinPoint = Point(X = 2108.998, Y = 35997.781, Z = 3800.000), MaxPoint = Point(X = 9108.998, Y = 36112.781, Z = 7000.000))
573742,Walls,Basic Wall,MW 11.5,[,BoundingBox(MinPoint = Point(X = 5551.498, Y = 34205.281, Z = 3800.000), MaxPoint = Point(X = 5666.498, Y = 36055.281, Z = 7000.000))
573743,Walls,Basic Wall,MW 11.5,M,BoundingBox(MinPoint = Point(X = 4548.147, Y = 32555.281, Z = 3800.000), MaxPoint = Point(X = 4663.147, Y = 34262.781, Z = 7000.000))
573744,Walls,Basic Wall,MW 11.5,a,BoundingBox(MinPoint = Point(X = 6248.147, Y = 32555.281, Z = 3800.000), MaxPoint = Point(X = 6363.147, Y = 34205.281, Z = 7000.000))
573745,Walls,Basic Wall,MW 11.5,t,BoundingBox(MinPoint = Point(X = 2108.998, Y = 34147.781, Z = 3800.000), MaxPoint = Point(X = 4605.647, Y = 34262.781, Z = 7000.000))
573746,Walls,Basic Wall,MW 11.5,e,BoundingBox(MinPoint = Point(X = 2051.498, Y = 32555.281, Z = 3800.000), MaxPoint = Point(X = 2166.498, Y = 40720.281, Z = 7000.000))
573751,Walls,Basic Wall,WC Trennwand 5.0,r,BoundingBox(MinPoint = Point(X = 4026.498, Y = 35105.281, Z = 3800.000), MaxPoint = Point(X = 7191.498, Y = 35155.281, Z = 7000.000))
573752,Walls,Basic Wall,MW 11.5,i,BoundingBox(MinPoint = Point(X = 14108.998, Y = 34797.781, Z = 3800.000), MaxPoint = Point(X = 21105.589, Y = 34912.781, Z = 7000.000))
573753,Walls,Basic Wall,MW 11.5,a,BoundingBox(MinPoint = Point(X = 14051.498, Y = 32555.281, Z = 3800.000), MaxPoint = Point(X = 14166.498, Y = 40720.281, Z = 7000.000))
573754,Walls,Basic Wall,MW 11.5,l,BoundingBox(MinPoint = Point(X = 15624.656, Y = 32555.281, Z = 3800.000), MaxPoint = Point(X = 15739.656, Y = 34855.281, Z = 7000.000))
573755,Walls,Basic Wall,MW 11.5,],BoundingBox(MinPoint = Point(X = 17051.498, Y = 32555.281, Z = 3800.000), MaxPoint = Point(X = 17166.498, Y = 40720.281, Z = 7000.000))
573756,Walls,Basic Wall,MW 11.5,,,BoundingBox(MinPoint = Point(X = 19524.656, Y = 32555.281, Z = 3800.000), MaxPoint = Point(X = 19639.656, Y = 34855.281, Z = 7000.000))
573763,Walls,Basic Wall,MW 11.5,[,BoundingBox(MinPoint = Point(X = 17413.568, Y = -12553.766, Z = 7300.000), MaxPoint = Point(X = 17528.568, Y = -4444.719, Z = 10600.000))
573764,Walls,Basic Wall,MW 11.5,M,BoundingBox(MinPoint = Point(X = 25413.568, Y = -12553.766, Z = 7300.000), MaxPoint = Point(X = 25528.568, Y = -4444.719, Z = 10600.000))
573765,Walls,Basic Wall,MW 11.5,a,BoundingBox(MinPoint = Point(X = 33413.568, Y = -12553.766, Z = 7300.000), MaxPoint = Point(X = 33528.568, Y = -4444.719, Z = 10600.000))
573766,Walls,Basic Wall,MW 11.5,t,BoundingBox(MinPoint = Point(X = 41413.568, Y = -12553.766, Z = 7300.000), MaxPoint = Point(X = 41528.568, Y = -4444.719, Z = 10600.000))
573767,Walls,Basic Wall,MW 11.5,e,BoundingBox(MinPoint = Point(X = -12602.903, Y = -3202.219, Z = 7300.000), MaxPoint = Point(X = -4575.344, Y = -3087.219, Z = 10600.000))
573768,Walls,Basic Wall,MW 11.5,r,BoundingBox(MinPoint = Point(X = -12602.903, Y = 6780.281, Z = 7300.000), MaxPoint = Point(X = -4575.344, Y = 6895.281, Z = 10600.000))
573769,Walls,Basic Wall,MW 11.5,i,BoundingBox(MinPoint = Point(X = -12602.903, Y = 12797.781, Z = 7300.000), MaxPoint = Point(X = -4575.344, Y = 12912.781, Z = 10600.000))
573770,Walls,Basic Wall,MW 11.5,a,BoundingBox(MinPoint = Point(X = -12602.903, Y = 20797.781, Z = 7300.000), MaxPoint = Point(X = -4575.344, Y = 20912.781, Z = 10600.000))
573771,Walls,Basic Wall,MW 11.5,l,BoundingBox(MinPoint = Point(X = -12602.903, Y = 28797.781, Z = 7300.000), MaxPoint = Point(X = -4575.344, Y = 28912.781, Z = 10600.000))
573780,Walls,Basic Wall,WC Trennwand 5.0,],BoundingBox(MinPoint = Point(X = 9108.998, Y = 36422.781, Z = 94.172), MaxPoint = Point(X = 10497.097, Y = 36472.781, Z = 3500.000))
573781,Walls,Basic Wall,WC Trennwand 5.0,,,BoundingBox(MinPoint = Point(X = 10472.097, Y = 34590.281, Z = 94.172), MaxPoint = Point(X = 10522.097, Y = 38305.281, Z = 3500.000))
573782,Walls,Basic Wall,WC Trennwand 5.0,[,BoundingBox(MinPoint = Point(X = 9108.998, Y = 37351.531, Z = 94.172), MaxPoint = Point(X = 10497.097, Y = 37401.531, Z = 3500.000))
573786,Walls,Basic Wall,MW 11.5,M,BoundingBox(MinPoint = Point(X = 5051.498, Y = 36055.281, Z = 3800.000), MaxPoint = Point(X = 5166.498, Y = 40720.281, Z = 7000.000))
573787,Walls,Basic Wall,MW 11.5,a,BoundingBox(MinPoint = Point(X = 7051.498, Y = 32512.781, Z = 7300.000), MaxPoint = Point(X = 7166.498, Y = 40720.281, Z = 10600.000))
573788,Walls,Basic Wall,MW 11.5,t,BoundingBox(MinPoint = Point(X = 13051.498, Y = 32512.781, Z = 7300.000), MaxPoint = Point(X = 13166.498, Y = 40720.281, Z = 10600.000))
574224,Walls,Curtain Wall,Standard,e,BoundingBox(MinPoint = Point(X = -13267.903, Y = 32005.281, Z = 94.172), MaxPoint = Point(X = -12267.903, Y = 40885.281, Z = 3230.000))
574261,Walls,Curtain Wall,Standard,r,BoundingBox(MinPoint = Point(X = -12767.903, Y = 40385.281, Z = 94.172), MaxPoint = Point(X = 41518.597, Y = 41385.281, Z = 10600.000))
574558,Walls,Curtain Wall,Standard,i,BoundingBox(MinPoint = Point(X = -12767.903, Y = -13218.766, Z = 94.172), MaxPoint = Point(X = -4417.903, Y = -12218.766, Z = 10600.000))
574646,Walls,Curtain Wall,Standard,a,BoundingBox(MinPoint = Point(X = 9471.068, Y = -13218.766, Z = 94.172), MaxPoint = Point(X = 50132.156, Y = -12218.766, Z = 10600.000))
575020,Walls,Basic Wall,STB 30.0,l,BoundingBox(MinPoint = Point(X = 50132.156, Y = -12844.719, Z = 94.172), MaxPoint = Point(X = 50432.156, Y = -4502.219, Z = 10600.000))
575086,Walls,Basic Wall,Lamelle 11.5,],BoundingBox(MinPoint = Point(X = -4632.903, Y = -4619.719, Z = 94.172), MaxPoint = Point(X = -4517.903, Y = 16555.281, Z = 3500.000))
575394,Walls,Curtain Wall,Standard,,,BoundingBox(MinPoint = Point(X = 52597.097, Y = -4502.219, Z = 94.172), MaxPoint = Point(X = 53597.097, Y = -2044.719, Z = 10600.000))
575419,Walls,Basic Wall,Lamelle 11.5,[,BoundingBox(MinPoint = Point(X = 9371.068, Y = -4617.219, Z = 3800.000), MaxPoint = Point(X = 50282.156, Y = -4502.219, Z = 7000.000))
575442,Walls,Curtain Wall,Standard,M,BoundingBox(MinPoint = Point(X = 4121.068, Y = 29540.281, Z = 94.172), MaxPoint = Point(X = 24120.589, Y = 30540.281, Z = 10600.000))
575564,Walls,Curtain Wall,Standard,a,BoundingBox(MinPoint = Point(X = 23620.589, Y = 30040.281, Z = 94.172), MaxPoint = Point(X = 24620.589, Y = 31855.281, Z = 10600.000))
575589,Walls,Curtain Wall,Standard,t,BoundingBox(MinPoint = Point(X = 3621.068, Y = 27935.698, Z = 94.172), MaxPoint = Point(X = 4621.068, Y = 30040.281, Z = 10600.000))
575613,Walls,Curtain Wall,Standard,e,BoundingBox(MinPoint = Point(X = 3621.068, Y = 20110.022, Z = 94.172), MaxPoint = Point(X = 4621.068, Y = 27935.698, Z = 10600.000))
575707,Walls,Curtain Wall,Standard,r,BoundingBox(MinPoint = Point(X = 3621.068, Y = 9553.842, Z = 94.172), MaxPoint = Point(X = 4621.068, Y = 20110.022, Z = 10600.000))
575790,Walls,Curtain Wall,Standard,i,BoundingBox(MinPoint = Point(X = 3621.068, Y = -2044.719, Z = 94.172), MaxPoint = Point(X = 4621.068, Y = 3753.842, Z = 10600.000))
575873,Walls,Basic Wall,STB 25.0 WD 12.0,a,BoundingBox(MinPoint = Point(X = 3856.068, Y = 3653.842, Z = 7300.000), MaxPoint = Point(X = 4226.068, Y = 9653.842, Z = 10600.000))
575883,Walls,Basic Wall,Lamelle 11.5,l,BoundingBox(MinPoint = Point(X = -4632.844, Y = -4646.158, Z = 3800.000), MaxPoint = Point(X = -4517.844, Y = 18855.281, Z = 7000.000))
575889,Walls,Basic Wall,MW 11.5,],BoundingBox(MinPoint = Point(X = -4517.844, Y = 28797.781, Z = 3800.000), MaxPoint = Point(X = -4402.844, Y = 30355.281, Z = 7000.000))
575890,Walls,Curtain Wall,Standard,,,BoundingBox(MinPoint = Point(X = -4460.344, Y = 29576.531, Z = 3950.000), MaxPoint = Point(X = 3956.068, Y = 30576.531, Z = 7000.000))
575892,Walls,Curtain Wall,Standard,[,BoundingBox(MinPoint = Point(X = -1491.002, Y = 30136.531, Z = 3950.000), MaxPoint = Point(X = -491.002, Y = 32555.281, Z = 7000.000))
575938,Walls,Curtain Wall,Standard,M,BoundingBox(MinPoint = Point(X = -5257.844, Y = 18855.281, Z = 3950.000), MaxPoint = Point(X = -4257.844, Y = 28855.281, Z = 7000.000))
576022,Walls,Basic Wall,Lamelle 11.5,a,BoundingBox(MinPoint = Point(X = 9471.068, Y = -4617.219, Z = 7300.000), MaxPoint = Point(X = 50282.156, Y = -4502.219, Z = 10600.000))
